#item+conceptum+codicem,#item+rem+i_en+i_eng+is_latn,#item+rem+i_ru+i_rus+is_cyrl
CMU_1:1,about how long have these symptoms been going on?,"о том, как долго присутствуют эти симптомы?"
Wikipedia_handpicked_1:1607,"U.S. president Donald Trump has faced criticism for referring to the coronavirus as the ""Chinese Virus"", a term considered by critics to be racist and anti-Chinese.","Президент США Дональд Трамп столкнулся с критикой за то, что он назвал коронавирус «китайским вирусом»; критики считают это мнение расистским и анти-китайским."
Wikipedia_handpicked_1:1608,Protesters in Ukraine attacked buses carrying Ukrainian and foreign evacuees from Wuhan to Novi Sanzhary.,"В Украине протестующие напали на автобусы, перевозившие в Новые Санжары украинских и иностранных граждан, эвакуированных из Уханя."
Wikipedia_handpicked_1:1609,"Students who come from Northeast India, which shares a border with China, and study in major Indian cities have reportedly experienced harassment related to the coronavirus outbreak.","Студенты, приезжающие из граничащей с Китаем северо-восточной Индии и обучающиеся в крупных городах Индии, сообщали о случаях преследований, связанных со вспышкой коронавируса."
Wikipedia_handpicked_1:1610,"The Bharatiya Janata Party's State unit president in West Bengal Dilip Ghosh stated that the Chinese had destroyed nature and ""that's why the God took revenge against them.""","Дилип Гхош, президент Государственного подразделения партии Бхаратия Джаната, Западная Бенгалия, заявил, что китайцы уничтожили природу и «поэтому Бог отомстил им»."
Wikipedia_handpicked_1:1611,"The remarks were later condemned by the Chinese consulate in Kolkata, calling it ""erroneous"".In China, xenophobia and racism agains non-Chinese residents has been inflamed by the pandemic, with foreigners described as ""foreign garbage"" and targeted for ""disposal"".","Позднее эти высказывания получили осуждение от китайского консульства в Калькутте, назвавшего их «заблуждением». В Китае из-за пандемии вновь вспыхнули ксенофобия и расизм по отношению к жителям, не являющимся гражданами Китая: иностранцев стали называть «иностранным мусором» и объектами, подлежащими «утилизации»."
Wikipedia_handpicked_1:1612,Many newspapers with paywalls have removed them for some or all of their coronavirus coverage.,"Многие газеты с платным доступом к информации устранили такие ограничения для некоторых или всех районов, пострадавших от коронавируса."
Wikipedia_handpicked_1:1613,Many scientific publishers made scientific papers related to the outbreak available with open access.,"Многие научные издатели выложили в открытый доступ свои научные статьи, посвященные вспышке коронавируса."
Wikipedia_handpicked_1:1614,Some scientists chose to share their results quickly on preprint servers such as bioRxiv.,"Некоторые ученые приняли решение дать краткосрочный доступ к результатам своих исследований на серверах публикации препринтов, таких как bioRxiv."
Wikipedia_handpicked_1:1615,"Emerging infectious disease – Infectious disease of emerging pathogen, often novel in its outbreak range or transmission mode","Распространяющееся инфекционное заболевание — Инфекционное заболевание от возвращающегося патогена, диапазон распространения или способ передачи которого зачастую неизвестны"
Wikipedia_handpicked_1:1616,Globalization and disease – Overview of globalization and disease transmission,Глобализация и заболевание — Обзор глобализации и распространения болезни
Wikipedia_handpicked_1:1617,List of epidemics and pandemics – A list of death tolls due to infectious disease,Перечень эпидемий и пандемий — Список погибших от инфекционного заболевания
Wikipedia_handpicked_1:1618,Wildlife smuggling and zoonoses – Health risks associated with the trade in exotic wildlife,"Контрабанда диких животных и болезни, передаваемые от животного человеку — Риски для здоровья, связанные с торговлей экзотическими животными."
Wikipedia_handpicked_3:1619,Laboratory testing for the respiratory coronavirus disease 2019 (COVID-19) and the associated SARS-CoV-2 virus includes methods that detect the presence of virus and those that detect antibodies produced in response to infection.,"Лабораторное тестирование респираторного коронавируса 2019 (COVID-19) и связанного с ним вируса SARS-CoV-2 включает методы, выявляющие присутствие вируса, и методы обнаружения антител, продуцируемых в ответ на инфекцию."
Wikipedia_handpicked_3:1620,"The presence of viruses in samples is confirmed by RT-PCR, which detects the coronavirus' RNA.","Присутствие вирусов в образцах подтверждается ОТ-ПЦР, которая распознает РНК коронавируса."
Wikipedia_handpicked_3:1621,This test is specific and is designed to only detect the RNA of the SARS-CoV-2 virus.,Данный тест специфичен и предназначен только для обнаружения РНК вируса SARS-CoV-2.
Wikipedia_handpicked_3:1622,It is used to confirm very recent or active infections.,Он используется для подтверждения достаточно недавних или активных инфекций.
Wikipedia_handpicked_3:1623,Detection of antibodies (serology) can be used both for diagnosis and population surveillance.,"Обнаружение антител (серология) может применяться как для диагностики, так и в целях популяционного контроля."
Wikipedia_handpicked_3:1624,"Antibody tests show how many people have had the disease, including those whose symptoms were too minor to report or who were asymptomatic.","Анализы на антитела выявляют количество людей, перенесших заболевание, включая тех, чьи симптомы были слишком незначительными, чтобы обращаться с ними в больницу, либо вовсе отсутствовали."
Wikipedia_handpicked_3:1625,An accurate mortality rate of the disease and the level of herd immunity in the population can be determined from the results of this test.,Точный уровень смертности от этого заболевания и уровень коллективного иммунитета можно определить по результатам такого теста.
Wikipedia_handpicked_3:1626,"Due to limited testing, as of March 2020 no countries had reliable data on the prevalence of the virus in their population.",По состоянию на март 2020 года из-за ограниченных возможностей тестирования ни в одной стране не было надежных данных о распространенности вируса среди населения.
Wikipedia_handpicked_3:1627,"By 23 March, no country had tested more than 3% of their population, and there are massive variations in how much testing has been done across countries.","К 23 марта ни одной стране не удалось проверить более 3% своего населения, а информация о количестве тестов, проведенных в разных странах, весьма противоречива."
Wikipedia_handpicked_3:1628,"This variability is also likely to be significantly affecting reported case fatality rates, which are likely to be significantly over-estimated in some countries.","Вероятно, такие различия в сведениях существенно влияют на зарегистрированные показатели смертности, которые в некоторых странах могут быть значительно преувеличены."
Wikipedia_handpicked_3:1629,"Using real-time reverse transcription polymerase chain reaction (rRT-PCR) the test can be done on respiratory samples obtained by various methods, including nasopharyngeal swab or sputum sample.","При помощи полимеразной цепной реакции обратной транскрипции в реальном времени (rRT-PCR) тест можно проводить на пробах из дыхательных путей, полученных различными способами, включая мазок из носоглотки или образец мокроты."
Wikipedia_handpicked_3:1630,Results are generally available within a few hours to 2 days.,Результаты обычно бывают доступны в течение периода от нескольких часов до 2 дней.
Wikipedia_handpicked_3:1631,The RT-PCR test performed with throat swabs is only reliable in the first week of the disease.,"ОТ-ПЦР-тест, проведенный на мазках, взятых из горла, действителен только в течение первой недели заболевания."
Wikipedia_handpicked_3:1632,Later on the virus can disappear in the throat while it continues to multiply in the lungs.,"Позже вирус может исчезнуть из горла, продолжая, тем не менее, размножаться в легких."
Wikipedia_handpicked_3:1633,"For infected people tested in the second week, alternatively sample material can then be taken from the deep airways by suction catheter or coughing up material (sputum) can be used.","У инфицированных пациентов, тестируемых на второй неделе заболевания, в качестве альтернативы может быть взят материал из нижних дыхательных путей с помощью отсасывающего катетера, либо можно использовать продукты отхаркивания (мокроту)."
Wikipedia_handpicked_3:1634,"One of the early PCR tests was developed at Charité in Berlin in January 2020 using real-time reverse transcription polymerase chain reaction (rRT-PCR), and formed the basis of 250,000 kits for distribution by the World Health Organization (WHO).","Один из ранних тестов ПЦР был разработан в клинике Шарите, Берлин, в январе 2020 года с использованием полимеразной цепной реакции с обратной транскрипцией в реальном времени (rRT-PCR) и лег в основу 250 000 наборов, которые впоследствии распространяла Всемирная организация здравоохранения (ВОЗ)."
Wikipedia_handpicked_3:1635,"The United Kingdom had also developed a test by 23 January 2020.The South Korean company Kogenebiotech developed a clinical grade, PCR-based SARS-CoV-2 detection kit (PowerChek Coronavirus) on 28 January 2020.",К 23 января 2020 года Соединенное Королевство также разработало свой тест. 28 января 2020 года южнокорейская компания Kogenebiotech разработала набор для обнаружения SARS-CoV-2 на основе ПЦР клинического уровня (PowerChek Coronavirus).
Wikipedia_handpicked_3:1636,"It looks for the ""E"" gene shared by all beta coronaviruses, and the RdRp gene specific to SARS-CoV-2.In China, BGI Group was one of the first companies to receive emergency use approval from China's National Medical Products Administration for a PCR-based SARS-CoV-2 detection kit.In the United States, the Centers for Disease Control and Prevention (CDC) is distributing its 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panel to public health labs through the International Reagent Resource.","Он выявляет ген «E», общий для всех бета-коронавирусов, и ген RdRp, специфичный для SARS-CoV-2. Китайская компания BGI Group стала одной из первых компаний, получивших разрешение Национального управления лекарственными средствами Китая на экстренное использование набора для обнаружения SARS-CoV-2 на основе ПЦР. В Соединенных Штатах Центры по контролю и профилактике заболеваний (CDC) распространяют через организацию International Reagent Resource свою диагностическую панель для проведения РТ-ПЦР в реальном времени (2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panel) в лабораториях общественного здравоохранения."
Wikipedia_handpicked_3:1637,"One of three genetic tests in older versions of the test kits caused inconclusive results due to faulty reagents, and a bottleneck of testing at the CDC in Atlanta; this resulted in an average of fewer than 100 samples a day being successfully processed throughout the whole of February 2020.","Один из трех генетических тестов из более старых версий тестовых наборов выдавал неполные результаты по причине бракованных реагентов и узкого района тестирования, проводимого CDC в Атланте; в результате в течение всего февраля 2020 года в среднем успешно обрабатывалось менее 100 проб в день."
Wikipedia_handpicked_3:1638,"Tests using two components were not determined to be reliable until 28 February 2020, and it was not until then that state and local laboratories were permitted to begin testing.","Тесты с использованием двух компонентов не считались надежными до 28 февраля 2020 года, и только после этой даты государственным и местным лабораториям было разрешено начать тестирование."
Wikipedia_handpicked_3:1639,The test was approved by the Food and Drug Administration under an Emergency Use Authorization.US commercial labs began testing in early March 2020.,Тестирование было одобрено Управлением по надзору за качеством пищевых продуктов и медикаментов в рамках экстренного разрешения на применение. Коммерческие лаборатории США начали тестирование в начале марта 2020 года.
Wikipedia_handpicked_3:1640,As of 5 March 2020 LabCorp announced nationwide availability of COVID-19 testing based on RT-PCR.,5 марта 2020 года LabCorp объявила о возможности тестирования на заражение COVID-19 на основе РТ-ПЦР по всей стране.
Wikipedia_handpicked_3:1641,Quest Diagnostics similarly made nationwide COVID-19 testing available as of 9 March 2020.,Quest Diagnostics начала тестирование на COVID-19 по всей стране с 9 марта 2020 года.
Wikipedia_handpicked_3:1642,No quantity limitations were announced; specimen collection and processing must be performed according to CDC requirements.,Ни о каких количественных ограничениях заявлено не было; забор и обработка анализов должны выполняться в соответствии с требованиями CDC.
Wikipedia_handpicked_3:1643,"In Russia, the COVID-19 test was developed and produced by the State Research Center of Virology and Biotechnology VECTOR.",В России тест на COVID-19 был разработан и произведен Государственным научно-исследовательским центром вирусологии и биотехнологии «ВЕКТОР».
Wikipedia_handpicked_3:1644,"On 11 February 2020 the test was registered by the Federal Service for Surveillance in Healthcare.On 12 March 2020, Mayo Clinic was reported to have developed a test to detect COVID-19 infection.On 13 March 2020, Roche Diagnostics received FDA approval for a test which could be performed within 3.5 hours in high volume, thus allowing one machine to do approximately 4,128 tests in a 24-hour period.","11 февраля 2020 года тест был зарегистрирован Федеральной службой по надзору в сфере здравоохранения. Сообщалось, что 12 марта 2020 года клиника Майо разработала тест для выявления инфекции COVID-19. 13 марта 2020 года Roche Diagnostics получила одобрение FDA на использование теста, который может проводиться в течение 3,5 часов на большом объеме проб, что позволяет одной машине обработать приблизительно 4128 тестов в течение 24 часов."
Wikipedia_handpicked_3:1645,"On 19 March 2020, the FDA issued emergency use authorization (EUA) to Abbott Laboratories for a test on Abbott's m2000 system; the FDA had previously issued similar authorization to Hologic, LabCorp, and Thermo Fisher Scientific.","19 марта 2020 года FDA выдало экстренное разрешение на применение (EUA) лабораториям Abbott для проведения испытаний системы Abbott m2000; ранее FDA выдало подобное разрешение Hologic, LabCorp и Thermo Fisher Scientific."
Wikipedia_handpicked_3:1646,"On 21 March 2020, Cepheid similarly received EUA from the FDA for a test that takes about 45 minutes.",21 марта 2020 года Cepheid также получает EUA от FDA на тест длительностью около 45 минут.
Wikipedia_handpicked_3:1647,The FDA has approved a test that uses isothermal nucleic acid amplification technology instead of PCR.,"FDA также одобрило тест, в котором вместо ПЦР используется технология амплификации изотермических нуклеиновых кислот."
Wikipedia_handpicked_3:1648,Since this does not require a series of alternating temperature cycles this method can deliver positive results in as little as five minutes and negative results in 13 minutes.,"Поскольку для проведения этого теста не требуется серия циклов чередующихся температур, этот метод может выявить положительные результаты всего за пять минут, а отрицательные — за 13 минут."
Wikipedia_handpicked_3:1649,"There are currently about 18,000 of these machines in the U.S. and Abbott expects to ramp up manufacturing to deliver 50,000 tests per day.A test which uses a monoclonal antibody which specifically binds to the nucleocapsid protein (N protein) of the novel coronavirus is being developed in Taiwan, with the hope that it can provide results in 15 to 20 minutes just like a rapid influenza test.","В настоящее время в США насчитывается около 18 000 таких машин, и Abbott планирует увеличить производство до 50 000 тестов в день. В настоящее время в Тайване разрабатывается тест с использованием моноклонального антитела, которое специфическим способом связывается с нуклеокапсидным белком (N-белком) нового коронавируса, и имеется надежда на возможность получения результатов через 15-20 минут, подобно экспресс-тесту на грипп."
Wikipedia_handpicked_3:1650,"A March 2020 literature review concluded that ""chest radiographs are of little diagnostic value in early stages, whereas CT [computed tomography] findings may be present even before symptom onset.""","В обзоре специализированной литературы за март 2020 года приводится вывод о том, что «рентгенограммы грудной клетки имеют небольшую диагностическую ценность на ранних стадиях, тогда как результаты КТ [компьютерной томографии] могут иметь такую ценность даже до появления симптомов»."
Wikipedia_handpicked_3:1651,"Typical features on CT include bilateral multilobar ground-glass opacificities with a peripheral, asymmetric and posterior distribution.","Типичные признаки, выявляемые в ходе КТ, включают двусторонние многодольные субплевральные фокусы уплотнения по типу «матового стекла» с периферическим, асимметричным и апостериорным распределением."
Wikipedia_handpicked_3:1652,"Subpleural dominance, crazy paving and consolidation develop as the disease evolves.","Субплевральное доминирование, симптом булыжной мостовой и консолидация развиваются по мере прогрессирования болезни."
Wikipedia_handpicked_3:1653,"A study comparing PCR to CT in Wuhan at the point of origin of the current pandemic has suggested that CT is significantly more sensitive than PCR, though less specific, with many of its imaging features overlapping with other pneumonias and disease processes.","Результаты исследования, сравнившего методы ПЦР и КТ, применявшиеся в Ухане в момент возникновения текущей пандемии, показали, что КТ значительно более чувствительна, чем ПЦР, хотя и менее специфична, так как многие ее функции визуализации совпадают с другими процессами для пневмонии и иных заболеваний."
Wikipedia_handpicked_3:1654,"As of March 2020, the American College of Radiology recommends that ""CT should not be used to screen for or as a first-line test to diagnose COVID-19"".As of March 2020, the CDC recommends PCR for initial screening.",С марта 2020 года Американский колледж радиологии опубликовал рекомендацию «не использовать КТ для скрининга или в качестве метода тестирования первой линии в диагностике COVID-19». По состоянию на март 2020 года для первоначального скрининга CDC рекомендует использовать именно метод ПЦР.
Wikipedia_handpicked_3:1655,Part of the immune response to infection is the production of antibodies including IgM and IgG.,"Частично иммунный ответ на инфекцию выражается в выработке антител, включая IgM и IgG."
Wikipedia_handpicked_3:1656,"These can be used to detect infection in individuals starting 7 days or so after the onset of symptoms, to determine immunity, and in population surveillance.Assays can be performed in central laboratories (CLT) or by point-of-care testing (PoCT).","Эти антитела могут быть использованы для выявления инфекции у людей после 7-го дня наличия симптомов, для определения иммунитета и с целью проведения популяционного контроля. Анализы могут проводиться в центральных лабораториях (CLT) или путем диагностирования на месте (PoCT)"
Wikipedia_handpicked_3:1657,The high-throughput automated systems in many clinical laboratories will be able to perform these assays but their availability will depend on the rate of production for each system.,"Во многих клинических лабораториях эти анализы смогут выполнять высокопроизводительные автоматизированные системы, но их доступность будет зависеть от скорости производства каждой такой системы."
Wikipedia_handpicked_3:1658,"For CLT a single specimen of peripheral blood is commonly used, although serial specimens can be used to follow the immune response.","В CLT обычно используется один образец периферической крови, хотя для отслеживания иммунного ответа могут применяться и серийные образцы."
Wikipedia_handpicked_3:1659,For PoCT a single specimen of blood is usually obtained by skin puncture.,При PoCT один образец крови обычно получают путем прокола кожного покрова.
Wikipedia_handpicked_3:1660,"Unlike PCR methods an extraction step is not needed before assay.On March 26, 2020, the FDA named 29 entities that provided notification to the agency as required and are now therefore able to distribute their antibody tests.","В отличие от методов ПЦР, этап забора крови для взятия пробирного анализа не требуется. 26 марта 2020 года FDA назвало 29 организаций, которые прошли все необходимые регистрационные процедуры и теперь могут распространять свои тесты на антитела."
Wikipedia_handpicked_3:1661,"As of April 7, 2020, only a single test has been approved by the FDA under an emergency use authorization.In late March 2020, Euroimmun Medical Laboratory Diagnostics and Epitope Diagnostics received European approvals for their test kits, which can detect IgG and IgA antibodies against the virus in blood samples.","По состоянию на 7 апреля 2020 года FDA одобрило только один тест по экстренному разрешению на применение. В конце марта 2020 года Euroimmun Medical Laboratory Diagnostics и Epitope Diagnostics получили европейские разрешения на использование своих тестовых наборов, которые могут выявлять в образцах крови антитела IgG и IgA, имеющие способность бороться с вирусом."
Wikipedia_handpicked_3:1662,The testing capacity is several hundred samples within hours and therefore much faster than the conventional PCR assay of viral RNA.,"Производительность тестирования составляет несколько сотен образцов в течение нескольких часов и, следовательно, данный метод работает намного быстрее, чем обычный ПЦР-анализ вирусной РНК."
Wikipedia_handpicked_3:1663,"The antibodies are usually detectable 14 days after the onset of the infection.In early April, the UK found none of the antibody test kits it purchased were sufficiently good to use.","Антитела обычно можно выявить через 14 дней после инфицирования. В начале апреля Великобритания обнаружила, что ни один из приобретенных ей наборов для анализа на антитела не дает удовлетворительных результатов."
Wikipedia_handpicked_3:1664,"Hong Kong has set up a scheme where suspected patients can stay home, ""emergency department will give a specimen tube to the patient"", they spit into it, send it back and get a test result a while after.The British NHS has announced that it is piloting a scheme to test suspected cases at home, which removes the risk of a patient infecting others if they come to a hospital or having to disinfect an ambulance if one is used.In drive-through testing for COVID-19 for suspected cases, a healthcare professional takes sample using appropriate precautions.","В Гонконге была разработана схема, позволяющая пациентам с подозрением на вирус оставаться дома: «сотрудники отделения неотложной помощи передают пациенту пробирку для образца», пациент плюет в нее, отдает обратно и через некоторое время получает результаты теста. Британская NHS объявила о запуске своей пилотной схемы тестирования подозрительных случаев в домашних условиях, которая устраняет риск заражения пациентом других посетителей клиник, или необходимость дезинфицировать машину скорой помощи, если она использовалась для перевозки пациента. В ходе экспресс-тестирования на COVID-19 при подозрительных случаях медицинский работник берет анализ, используя все соответствующие меры предосторожности."
Wikipedia_handpicked_3:1665,"Drive-through centers have helped South Korea do some of the fastest, most-extensive testing of any country.In Germany, the National Association of Statutory Health Insurance Physicians said on 2 March, that it had a capacity for about 12,000 tests per day in the ambulatory setting and 10.700 had been tested in the prior week.","Центры экспресс-тестирования помогли Южной Корее организовать одну из самых быстрых и масштабных процедур тестирования, чем в какой-либо другой стране. 2 марта в Германии Национальная ассоциация врачей обязательного медицинского страхования заявила, что готова проводить около 12 000 тестов в день в амбулаторных условиях, а неделей ранее они могли делать всего лишь 10 700 тестов в неделю."
Wikipedia_handpicked_3:1666,Costs are borne by the health insurance when the test is ordered by a physician.,"Если обследование назначается врачом, то расходы покрываются медицинской страховкой."
Wikipedia_handpicked_3:1667,"According to the president of the Robert Koch Institute, Germany has an overall capacity for 160,000 tests per week.","По словам президента Института Роберта Коха, общая производительность Германии в плане тестирования составляет 160 000 тестов в неделю."
Wikipedia_handpicked_3:1668,As of 19 March drive in tests were offered in several large cities.,По состоянию на 19 марта предлагалось провести экспресс-тестирование в нескольких крупных городах.
Wikipedia_handpicked_3:1669,"As of 26 March 2020 the total number of tests performed in Germany was unknown, because only positive results are reported.","По состоянию на 26 марта 2020 года общее количество тестов, сданных в Германии, было неизвестно, поскольку регистрируются только положительные результаты."
Wikipedia_handpicked_3:1670,"A first lab survey revealed that as of calendar week 12/2020 a total of at least 483,295 samples were tested up to and including week 12/2020 and 33,491 samples (6.9%) tested positive for SARS-CoV-2.In Israel, researchers at Technion and Rambam Hospital developed and tested a method for testing samples from 64 patients simultaneously, by pooling the samples and only testing further if the combined sample is found to be positive.In Wuhan a makeshift 2000-sq-meter emergency detection laboratory named ""Huo-Yan"" (Chinese: 火眼, or ""Fire Eye"" in English) was opened on 5 February 2020 by BGI, which can process over 10,000 samples a day.","Первое лабораторное исследование показало, что по состоянию на календарную неделю 12/2020 на SARS-CoV-2 было взято в общей сложности не менее 483 295 анализов, вплоть до недели 12/2020, включительно, и по 33 491 образцу (6,9%) результат был положительным. Исследователи израильских клиник Technion и Rambam Hospital разработали и испытали метод одновременного тестирования образцов, взятых у 64 пациентов, объединяя образцы и проводя дальнейшие анализы только в том случае, если комбинированный образец покажет положительный результат. В Ухане 5 февраля 2020 года компанией BGI была открыта временная лаборатория площадью 2000 кв. метров по обнаружению чрезвычайных случаев под названием «Хуо-Янь» (по-китайски 火眼 или «Огненный глаз»), которая может обрабатывать более 10 000 образцов в день."
Wikipedia_handpicked_3:1671,"With the construction overseen by BGI-founder Wang Jian and taking 5-days, modelling has show cases in Hubei would have been 47% higher and the corresponding cost of the tackling the quarantine would have doubled if this testing capacity hadn't come on line.","Строительство этой лаборатории было организовано основателем BGI Ван Цзянем и завершено всего за 5 дней; моделирование показало, что если бы эта лаборатория не была введена в эксплуатацию в таком ускоренном темпе, случаев возникновения заболевания в Хубэе было бы на 47% больше, а соответственно, расходы на карантин также были бы в два раза выше."
Wikipedia_handpicked_3:1672,"The Wuhan Laboratory has been promptly followed by Huo-Yan labs in Shenzhen, Tianjin, Beijing, and Shanghai, in a total of 12 cities across China.","За открытием лаборатории в Ухане сразу же были открыты лаборатории Хуо-Янь в Шэньчжэне, Тяньцзине, Пекине и Шанхае — в общей сложности в 12 городах Китая."
Wikipedia_handpicked_3:1673,"By 4 March 2020 the daily throughput totals were 50,000 tests per day.Open source, multiplexed designs released by Origami Assays have been released that can test as many as 1122 patient samples for COVID19 using only 93 assays . These balanced designs can be run in small laboratories without the need for robotic liquid handlers.","К 4 марта 2020 года ежедневные общие показатели пропускной способности составляли 50 000 тестов в день. Были выпущены открытые мультиплексные схемы Origami Assays, которые могут тестировать до 1 122 анализов пациентов на COVID19 с использованием только 93 пробирок. Такие сбалансированные конструкции могут работать в небольших лабораториях, исключая необходимость использования роботизированных жидкостных манипуляторов."
Wikipedia_handpicked_3:1674,"By March, shortages and insufficient amounts of reagent has become a bottleneck for mass testing in the EU and UK and the US.","К марту, в связи с нехваткой и недостаточным количеством реагентов, стало проблематичным проведение массового тестирования в ЕС, Великобритании и США."
Wikipedia_handpicked_3:1675,"This has led some authors to explore sample preparation protocols that involve heating samples at 98 °C (208 °F) for 5 minutes to release RNA genomes for further testing.On 31 March it was announced United Arab Emirates was now testing more of its population for Coronavirus per head than any other country, and was on track to scale up the level of testing to reach the bulk of the population.","В результате, некоторые авторы обратились к протоколам обработки тестовых образцов, которые предусматривают нагревание образцов при 98°C (208°F) в течение 5 минут с целью высвобождения геномов РНК для дальнейшего тестирования. 31 марта было объявлено, что объем тестирования на коронавирус, которое проводят Объединенные Арабские Эмираты на душу населения в настоящее время, превышает показатели любой другой страны, и вскоре большая часть населения будет протестирована."
Wikipedia_handpicked_3:1676,"This was through a combination of drive-through capability, and purchasing a population-scale mass-throughput laboratory from Group 42 and BGI (based on their ""Huo-Yan"" emergency detection laboratories in China).","Это произошло благодаря возможностям проведения экспресс-тестирования, наряду с приобретением у Group 42 и BGI лаборатории массового тестирования населения (создана на основе их лабораторий по выявлению чрезвычайных случаев Хуо-Янь в Китае)."
Wikipedia_handpicked_3:1677,"Constructed in 14 days, the lab is capable of conducting tens of thousands RT-PCR tests per day and is the first in the world of this scale to be operational outside of China.","Эта лаборатория, развернутая за 14 дней, способна проводить десятки тысяч тестов РТ-ПЦР в день и является первой в мире лабораторией настолько крупного масштаба, работающей за пределами Китая."
Wikipedia_handpicked_3:1678,"Different testing recipes targeting different parts of the coronavirus genetic profile were developed in China, France, Germany, Hong Kong, Japan, and the United States.","Различные варианты тестирования, направленные на разные части генетического профиля коронавируса, были разработаны в Китае, Франции, Германии, Гонконге, Японии и Соединенных Штатах."
Wikipedia_handpicked_3:1679,The World Health Organization adopted the German recipe for manufacturing kits sent to low-income countries without the resources to develop their own.,"Всемирная организация здравоохранения приняла к использованию немецкий вариант изготовления тестовых комплектов, которые отправляются в страны с низким уровнем дохода, не имеющие ресурсов для разработки своих собственных комплектов."
Wikipedia_handpicked_3:1680,"The German recipe was published on 17 January 2020; the protocol developed by the United States Centers for Disease Control was not available until 28 January, delaying available tests in the U.S.China and the United States had problems with the reliability of test kits early in the outbreak, and these countries and Australia were unable to supply enough kits to satisfy demand and recommendations for testing by health experts.","Немецкий вариант был опубликован 17 января 2020 года; протокол, разработанный санитарно-эпидемиологическими центрами Соединенных Штатов, был недоступен до 28 января, что привело к отсутствию тестовых наборов в США. В самом начале вспышки в Китае и США возникали проблемы с надежностью тестовых наборов, и эти страны, а также Австралия, не смогли предоставлять достаточное количество наборов, рекомендованное экспертами в области здравоохранения."
Wikipedia_handpicked_3:1681,"In contrast, experts say South Korea's broad availability of testing helped reduce the spread of the novel coronavirus.","А вот в Южной Корее, как утверждают эксперты, широкая доступность тестирования помогла снизить распространение нового коронавируса."
