#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
Wikipedia_handpicked_1:1404,"Il a été confirmé que l’épidémie s’était étendue à l’Italie le 31 janvier, lorsque deux touristes chinois ont été testés positifs au SARS-CoV-2 à Rome.","The outbreak was confirmed to have spread to Italy on 31 January, when two Chinese tourists tested positive for SARS-CoV-2 in Rome."
Wikipedia_handpicked_1:1405,"Les cas ont commencé à augmenter rapidement, ce qui a poussé le gouvernement italien à suspendre tous les vols vers et à destination de la Chine et à déclarer l’état d’urgence.","Cases began to rise sharply, which prompted the Italian government to suspend all flights to and from China and declare a state of emergency."
Wikipedia_handpicked_1:1406,"Un foyer de cas de COVID-19 sans aucun lien a été détecté ultérieurement, avec 16 cas confirmés en Lombardie le 21 février. Le 22 février, le Conseil des ministres a annoncé un nouveau décret-loi pour contenir l’épidémie, notamment la mise en quarantaine de plus de 50 000 personnes dans 11 municipalités différentes du nord de l’Italie.","An unassociated cluster of COVID-19 cases was later detected, starting with 16 confirmed cases in Lombardy on 21 February.On 22 February, the Council of Ministers announced a new decree-law to contain the outbreak, including quarantining more than 50,000 people from 11 different municipalities in northern Italy."
Wikipedia_handpicked_1:1407,"Le Premier ministre Giuseppe Conte a déclaré : « Dans les zones touchées par l’épidémie, aucune entrée ou sortie ne sera autorisée.","Prime Minister Giuseppe Conte said, ""In the outbreak areas, entry and exit will not be provided."
Wikipedia_handpicked_1:1408,"La suspension de l’activité professionnelle et des événements sportifs a déjà été ordonnée dans ces zones ». Le 4 mars, le gouvernement italien a ordonné la fermeture complète de toutes les écoles et universités du pays alors que l’Italie comptait 100 décès.","Suspension of work activities and sports events has already been ordered in those areas.""On 4 March, the Italian government ordered the full closure of all schools and universities nationwide as Italy reached 100 deaths."
Wikipedia_handpicked_1:1409,"Tous les principaux événements sportifs, y compris les matchs de la Serie A de football, devaient se tenir à huis clos jusqu’au mois d’avril, mais le 9 mars, tout le sport a été suspendu totalement pour un mois minimum.","All major sporting events, including Serie A football matches, were to be held behind closed doors until April, but on 9 March, all sport was suspended completely for at least one month."
Wikipedia_handpicked_1:1410,"Le 11 mars, le Premier ministre Conte a ordonné l’arrêt de la quasi-totalité de l’activité commerciale, à l’exception des supermarchés et des pharmacies. Le 6 mars, la Société italienne d’anesthésie, d’analgésie, de réanimation et de soins intensifs (SIAARTI) a publié des recommandations d’éthique médicale concernant les protocoles de triage pouvant être adoptés.","On 11 March, Prime Minister Conte ordered stoppage of nearly all commercial activity except supermarkets and pharmacies.On 6 March, the Italian College of Anaesthesia, Analgesia, Resuscitation and Intensive Care (SIAARTI) published medical ethics recommendations regarding triage protocols that might be employed."
Wikipedia_handpicked_1:1411,"Le 19 mars, l’Italie a dépassé la Chine en tant que pays comptabilisant le plus de décès liés au coronavirus dans le monde après avoir rapporté 3 405 morts dues à la pandémie.","On 19 March, Italy overtook China as the country with the most coronavirus-related deaths in the world after reporting 3,405 fatalities from the pandemic."
Wikipedia_handpicked_1:1412,"Le 22 mars, il a été rapporté que la Russie avait envoyé neuf avions militaires chargés d’équipement médical vers l’Italie.","On 22 March, it was reported that Russia had sent nine military planes with medical equipment to Italy."
Wikipedia_handpicked_1:1413,"Au 5 avril, l’Italie comptabilisait 128 948 cas confirmés, 15 887 décès et 21 815 guérisons ; la majorité de ces cas sont apparus dans la région de Lombardie.","As of 5 April, there were 128,948 confirmed cases, 15,887 deaths, and 21,815 recoveries in Italy, with the majority of those cases occurring in the Lombardy region."
Wikipedia_handpicked_1:1414,Un reportage de CNN a indiqué que la combinaison entre l’importante population âgée en Italie et l’incapacité à tester toutes les personnes atteintes du virus à ce jour pourrait avoir contribué au fort taux de mortalité.,A CNN report indicated that the combination of Italy's large elderly population and inability to test all who have the virus to date may be contributing to the high fatality rate.
Wikipedia_handpicked_1:1415,"La réponse du Royaume-Uni au virus est d’abord apparue comme l’une des plus souples parmi les pays touchés, et jusqu’au 18 mars 2020, le gouvernement britannique n’a imposé aucune forme de distanciation sociale ou mesure de quarantaine de masse à ses citoyens.","The United Kingdom's response to the virus first emerged as one of the most relaxed of the affected countries, and until 18 March 2020, the British government did not impose any form of social distancing or mass quarantine measures on its citizens."
Wikipedia_handpicked_1:1416,"Par conséquent, le gouvernement a été critiqué pour son manque manifeste de réactivité et de vivacité en réponse aux préoccupations du public. Le 16 mars, le Premier ministre Boris Johnson a fait une annonce, déconseillant tous les voyages et contacts sociaux non essentiels, suggérant que les gens travaillent de chez eux si possible et évitent les lieux tels que les pubs, les restaurants et les salles de spectacle.","As a result, the government received criticism for the perceived lack of pace and intensity in its response to concerns faced by the public.On 16 March, Prime Minister Boris Johnson made an announcement advising against all non-essential travel and social contact, suggesting people work from home where possible and avoid venues such as pubs, restaurants, and theatres."
Wikipedia_handpicked_1:1417,"Le 20 mars, le gouvernement a annoncé que tous les établissements de loisirs tels que les pubs et les salles de sport devaient fermer le plus tôt possible, et a promis de payer jusqu’à 80 % des salaires des travailleurs, dans la limite de 2 500 £ par mois, afin d’éviter le chômage lié à la crise. Le 23 mars, le Premier ministre a annoncé des mesures de distanciation sociale plus dures, interdisant les rassemblements de plus de deux personnes et limitant les voyages et les activités de plein air au strict nécessaire.","On 20 March, the government announced that all leisure establishments such as pubs and gyms were to close as soon as possible, and promised to pay up to 80% of workers' wages to a limit of £2,500 per month to prevent unemployment in the crisis.On 23 March, the Prime Minister announced tougher social distancing measures, banning gatherings of more than two people and restricting travel and outdoor activity to that deemed strictly necessary."
Wikipedia_handpicked_1:1418,"Contrairement aux mesures précédentes, ces restrictions étaient soumises à des sanctions policières, notamment à des amendes et à la dispersion des rassemblements.","Unlike previous measures, these restrictions were enforceable by police through the issuing of fines and the dispersal of gatherings."
Wikipedia_handpicked_1:1419,"La plupart des entreprises ont été sommées de fermer, à l’exception des entreprises jugées « essentielles », notamment les supermarchés, les pharmacies, les banques, les magasins de bricolage, les stations-service et les garages.","Most businesses were ordered to close, with exceptions for businesses deemed ""essential"", including supermarkets, pharmacies, banks, hardware shops, petrol stations, and garages."
Wikipedia_handpicked_1:1420,"Le 20 janvier, le premier cas connu de COVID-19 a été confirmé dans le Nord-Ouest Pacifique, dans l’État de Washington, chez un homme rentré de Wuhan le 15 janvier.","On 20 January, the first known case of COVID-19 was confirmed in the Pacific Northwest state of Washington in a man who had returned from Wuhan on 15 January."
Wikipedia_handpicked_1:1421,Le groupe de travail sur le coronavirus de la Maison Blanche a été créé le 29 janvier.,The White House Coronavirus Task Force was established on 29 January.
Wikipedia_handpicked_1:1422,"Le 31 janvier, l’administration Trump a déclaré une urgence de santé publique et a imposé des restrictions sur l’entrée des voyageurs en provenance de Chine.","On 31 January, the Trump administration declared a public health emergency, and placed restrictions on entry for travellers from China."
Wikipedia_handpicked_1:1423,"Le 28 janvier 2020, le Centre de contrôle des maladies, principal institut de santé publique du gouvernement américain, a annoncé qu’il avait développé son propre kit de dépistage.","On 28 January 2020, the Center for Disease Control—the leading public health institute of the U.S. government—announced they had developed their own testing kit."
Wikipedia_handpicked_1:1424,"Malgré cela, les États-Unis ont mis du temps à démarrer les tests, ce qui a occulté la véritable étendue de l’épidémie à ce moment-là.","Despite doing so, the United States had a slow start in testing, which obscured the true extent of the outbreak at the time."
Wikipedia_handpicked_1:1425,"Les tests ont été entachés par des kits de dépistage défectueux produits par le gouvernement fédéral en février, l’absence d’approbation du gouvernement fédéral pour les kits de dépistage non gouvernementaux (universités, entreprises et hôpitaux) jusqu’à la fin du mois de février et des critères restrictifs pour pouvoir prétendre à un test jusqu’à début mars (ordonnance d’un médecin obligatoire par la suite).","Testing was marred by defective test kits produced by the federal government in February, a lack of federal government approval for non-government test kits (by academia, companies and hospitals) until the end of February, and restrictive criteria for people to qualify for a test until early March (a doctor's order was required thereafter)."
Wikipedia_handpicked_1:1426,"Le 27 février, The Washington Post a rapporté que moins de 4 000 tests avaient été réalisés aux États-Unis.","By 27 February, The Washington Post reported fewer than 4,000 tests had been conducted in the United States."
Wikipedia_handpicked_1:1427,"Le 13 mars, The Atlantic a rapporté que moins de 14 000 tests avaient été réalisés.","By 13 March, The Atlantic reported that less than 14,000 tests had been conducted."
Wikipedia_handpicked_1:1428,"Le 22 mars, l’Associated Press a rapporté : « De nombreuses personnes ayant des symptômes et l’ordonnance d’un médecin ont attendu des heures voire des jours pour un test ». Dès que le premier décès aux États-Unis a été signalé dans l’État de Washington le 29 février, le gouverneur Jay Inslee a déclaré l’état d’urgence, une action rapidement suivie par d’autres États.","On 22 March, the Associated Press reported: ""Many people who have symptoms and a doctor's order have waited hours or days for a test.""After the first death in the United States was reported in Washington state on 29 February, Governor Jay Inslee declared a state of emergency, an action that was soon followed by other states."
Wikipedia_handpicked_1:1429,"Les écoles de la région de Seattle ont annulé les cours le 3 mars et à la mi-mars, les écoles de tout le pays étaient fermées. Le 6 mars 2020, les États-Unis ont été informés des projections en matière d’impact du nouveau coronavirus sur le pays par un groupe d’épidémiologistes de l’Imperial College London.","Schools in the Seattle area cancelled classes on 3 March, and by mid-March, schools across the country were shutting down.On 6 March 2020, the United States was advised of projections for the impact of the new coronavirus on the country by a group of epidemiologists at Imperial College London."
Wikipedia_handpicked_1:1430,"Le même jour, le président Trump a signé le Coronavirus Preparedness and Response Supplemental Appropriations Act, qui prévoit un fonds d’urgence de 8,3 milliards de dollars pour aider les agences fédérales à faire face à l’épidémie.","On the same day President Trump signed the Coronavirus Preparedness and Response Supplemental Appropriations Act, which provided $8.3 billion in emergency funding for federal agencies to respond to the outbreak."
Wikipedia_handpicked_1:1431,"Les sociétés ont imposé des restrictions de voyage à leurs employés, ont annulé des conférences et ont encouragé leurs employés à travailler de chez eux.","Corporations imposed employee travel restrictions, cancelled conferences, and encouraged employees to work from home."
Wikipedia_handpicked_1:1432,"Les événements sportifs et les saisons ont été annulés. Le 11 mars, Trump a annoncé des restrictions de voyage pour la majorité de l’Europe, à l’exception du Royaume-Uni, pendant 30 jours à compter du 13 mars.","Sports events and seasons were cancelled.On 11 March, Trump announced travel restrictions for most of Europe, excluding the United Kingdom, for 30 days, effective 13 March."
Wikipedia_handpicked_1:1433,"Le lendemain, il a étendu les restrictions pour inclure le Royaume-Uni et l’Irlande.","The following day, he expanded the restrictions to include the United Kingdom and Ireland."
Wikipedia_handpicked_1:1434,"Le 13 mars, il a déclaré l’urgence nationale, qui a permis de débloquer des fonds fédéraux pour faire face à la crise.","On 13 March, he declared a national emergency, which made federal funds available to respond to the crisis."
Wikipedia_handpicked_1:1435,"Dès le 15 mars, de nombreuses entreprises ont fermé ou réduit leurs horaires dans tous les États-Unis afin d’essayer de limiter la propagation du virus.","Beginning on 15 March, many businesses closed or reduced hours throughout the U.S. to try to reduce the spread of the virus."
Wikipedia_handpicked_1:1436,"Le 17 mars, l’épidémie a été confirmée dans chacun des 50 États et dans le District de Columbia. Le 23 mars, 10 700 cas de coronavirus ont été signalés à New York, ce qui était plus que le nombre total de cas en Corée du Sud.","By 17 March, the epidemic had been confirmed in all 50 states and in the District of Columbia.On 23 March, it was reported that New York City had 10,700 cases of the coronavirus, more than the total number of cases in South Korea."
Wikipedia_handpicked_1:1437,"Le 25 mars, le gouverneur a déclaré que la distanciation sociale semblait fonctionner car les évaluations de doublement des cas étaient passées de 2,0 jours à 4,7 jours.","On 25 March, the governor said that social distancing seemed to be working, as estimates of case doubling slowed from 2.0 days to 4.7 days."
Wikipedia_handpicked_1:1438,"Au 28 mars, 32 308 cas étaient confirmés à New York et 672 personnes étaient décédées du virus. Le 26 mars, les États-Unis rapportaient plus de cas confirmés d’infection au coronavirus que n’importe quel autre pays du monde, y compris la Chine et l’Italie. Au 8 avril, 400 335 cas étaient confirmés aux États-Unis et 12 841 personnes étaient décédées.","As of 28 March, there were 32,308 confirmed cases in New York City, and 672 people had died from the virus.On 26 March, the United States was reported to have more confirmed coronavirus infection cases than any other country in the world, including China and Italy.As of 8 April, 400,335 cases have been confirmed in the United States, and 12,841 people have died."
Wikipedia_handpicked_1:1439,"Le 30 mars, par l’intermédiaire de la presse, le président des États-Unis Trump a décidé de prolonger les directives de distanciation sociale jusqu’au 30 avril.","Per media reports on 30 March, U.S. President Trump has decided to extend social distancing guidelines until 30 April."
Wikipedia_handpicked_1:1440,"Le même jour, l’USNS Comfort, un navire-hôpital d’environ 1 000 lits, a jeté l’ancre à New York.","On the same day, the USNS Comfort, a hospital ship with about 1000 beds, made anchor in New York."
Wikipedia_handpicked_1:1441,"Le 3 avril, les États-Unis ont enregistré 884 décès dus au coronavirus en 24 heures.","On 3 April, the U.S. had a record 884 deaths due to the coronavirus in a 24-hour period."
Wikipedia_handpicked_1:1442,"Dans l’État de New York, le nombre de cas a dépassé les 100 000 personnes le 3 avril. La Maison Blanche a été critiquée pour avoir minimisé la menace et contrôlé la communication en ordonnant aux responsables de la santé et aux scientifiques de coordonner les déclarations publiques et les publications relatives au virus avec le bureau du vice-président Mike Pence.","In the state of New York the cases have exceeded 100,000 people on 3 April.The White House has been criticized for downplaying the threat and controlling the messaging by directing health officials and scientists to coordinate public statements and publications related to the virus with the office of Vice-President Mike Pence."
Wikipedia_handpicked_1:1443,L’approbation générale de la gestion de la crise par Trump a fait l’objet de divisions partisanes.,Overall approval of Trump's management of the crisis has been polarized along partisan lines.
Wikipedia_handpicked_1:1444,"Certains fonctionnaires et commentateurs américains ont critiqué la dépendance des États-Unis en matière d’importation de matériel indispensable, notamment d’équipement médical essentiel, depuis la Chine.","Some U.S. officials and commentators criticized the U.S. reliance on importation of critical materials, including essential medical supplies, from China."
Wikipedia_handpicked_1:1445,"Une analyse des modèles de voyages en avion a été utilisée pour cartographier et prévoir les modèles de propagation, et a été publiée dans le Journal of Travel Medicine à la mi-janvier 2020.",An analysis of air travel patterns was used to map and predict patterns of spread and was published in The Journal of Travel Medicine in mid-January 2020.
Wikipedia_handpicked_1:1446,"D’après les informations de l’année 2018 de l’Association internationale du transport aérien, Bangkok, Hong Kong, Tokyo et Taipei comptaient le plus grand volume de voyageurs en provenance de Wuhan.","Based on 2018 information from the International Air Transport Association, Bangkok, Hong Kong, Tokyo, and Taipei had the largest volume of travellers from Wuhan."
Wikipedia_handpicked_1:1447,"Dubaï, Sydney et Melbourne étaient également des destinations populaires pour les personnes en partance de Wuhan.","Dubai, Sydney, and Melbourne were also reported as popular destinations for people travelling from Wuhan."
Wikipedia_handpicked_1:1448,"Bali était considérée comme la moins compétente des 20 villes d’arrivée les plus populaires en matière de préparation, alors que les villes australiennes étaient jugées plus aptes. L’Australie a publié son plan de réponse d’urgence au nouveau coronavirus (COVID-19) le 7 février.","Bali was reported as least able among the 20 most popular destination cities in terms of preparedness, while cities in Australia were considered most able.Australia released its Emergency Response Plan for Novel Coronavirus (COVID-19) on 7 February."
Wikipedia_handpicked_1:1449,Il indiquait que tout restait encore à découvrir sur la COVID-19 et que l’Australie accentuerait son contrôle frontalier et sa communication dans sa réponse face à la pandémie.,"It stated that much was yet to be discovered about COVID-19, and that Australia would emphasize border control and communication in its response to the pandemic."
Wikipedia_handpicked_1:1450,"Le 21 mars, une urgence en matière de biosécurité humaine était déclarée en Australie.","On 21 March, a human biosecurity emergency was declared in Australia."
Wikipedia_handpicked_1:1451,"En raison de la mise en quarantaine des transports publics de Wuhan et du Hubei, plusieurs pays ont prévu d’évacuer leurs citoyens et leur personnel diplomatique de la région, principalement via des vols affrétés par le pays d’origine, avec l’autorisation des autorités chinoises.","Owing to the effective quarantine of public transport in Wuhan and Hubei, several countries have planned to evacuate their citizens and diplomatic staff from the area, primarily through chartered flights of the home nation, with Chinese authorities providing clearance."
Wikipedia_handpicked_1:1452,"Le Canada, les États-Unis, le Japon, l’Inde, le Sri Lanka, l’Australie, la France, l’Argentine, l’Allemagne et la Thaïlande ont été parmi les premiers à organiser l’évacuation de leurs citoyens.","Canada, the United States, Japan, India, Sri Lanka, Australia, France, Argentina, Germany, and Thailand were among the first to plan the evacuation of their citizens."
Wikipedia_handpicked_1:1453,Le Pakistan a déclaré qu’il n’évacuerait aucun de ses citoyens de la Chine.,Pakistan has said that it will not be evacuating any citizens from China.
Wikipedia_handpicked_1:1454,"Le 7 février, le Brésil a évacué 34 Brésiliens ou membres de leur famille en plus de quatre Polonais, un Chinois et un Indien.","On 7 February, Brazil evacuated 34 Brazilians or family members in addition to four Poles, a Chinese person, and an Indian citizen."
Wikipedia_handpicked_1:1455,"Les citoyens polonais, chinois et indien ont atterri en Pologne, où l’avion brésilien a fait escale avant de poursuivre sa route vers le Brésil.","The citizens of Poland, China, and India deplaned in Poland, where the Brazilian plane made a stopover before following its route to Brazil."
Wikipedia_handpicked_1:1456,Les citoyens brésiliens s’étant rendus à Wuhan ont été mis en quarantaine sur une base militaire proche de Brasília.,Brazilian citizens who went to Wuhan were quarantined at a military base near Brasília.
Wikipedia_handpicked_1:1457,"Le même jour, 215 Canadiens (176 dans un premier avion et 39 dans un deuxième avion affrété par le gouvernement américain) ont été évacués de Wuhan vers la BFC Trenton afin d’être mis en quarantaine pendant deux semaines.","On the same day, 215 Canadians (176 from the first plane, and 39 from a second plane chartered by the U.S. government) were evacuated from Wuhan to CFB Trenton to be quarantined for two weeks."
Wikipedia_handpicked_1:1458,"Le 11 février, un autre avion transportant 185 Canadiens en provenance de Wuhan a atterri à la BFC Trenton.","On 11 February, another plane of 185 Canadians from Wuhan landed at CFB Trenton."
Wikipedia_handpicked_1:1459,"Les autorités australiennes ont évacué 277 citoyens les 3 et 4 février vers le centre de détention de l’île Christmas, transformé en installation de quarantaine, où ils sont restés pendant 14 jours.","Australian authorities evacuated 277 citizens on 3 and 4 February to the Christmas Island Detention Centre, which had been repurposed as a quarantine facility, where they remained for 14 days."
Wikipedia_handpicked_1:1460,"Un vol d’évacuation néo-zélandais est arrivé à Auckland le 5 février ; ses passagers (notamment en provenance de l’Australie et du Pacifique) ont été mis en quarantaine sur une base navale de Whangaparaoa, au nord d’Auckland.","A New Zealand evacuation flight arrived in Auckland on 5 February; its passengers (including some from Australia and the Pacific) were quarantined at a naval base in Whangaparoa, north of Auckland."
Wikipedia_handpicked_1:1461,"Le 15 février, les États-Unis ont annoncé qu’ils évacueraient les Américains à bord du navire de croisière Diamond Princess.","On 15 February, the United States announced that it would evacuate Americans aboard the cruise ship Diamond Princess."
Wikipedia_handpicked_1:1462,"Le 21 février, un avion transportant 129 passagers canadiens ayant été évacués du Diamond Princess ont atterri à Trenton, dans l’Ontario.","On 21 February, a plane carrying 129 Canadian passengers who had been evacuated from Diamond Princess landed in Trenton, Ontario."
Wikipedia_handpicked_1:1463,"Début mars, le gouvernement indien a commencé à évacuer ses citoyens d’Iran. Le 14 mars, un avion de la South African Airways affrété par le gouvernement sud-africain a rapatrié 112 citoyens sud-africains.","In early March, the Indian government began evacuating its citizens from Iran.On 14 March a South African Airways aircraft chartered by the South African Government repatriated 112 South African citizens."
Wikipedia_handpicked_1:1464,Un dépistage médical a été réalisé avant le départ et quatre Sud-Africains qui montraient des signes de coronavirus sont restés sur place pour réduire le risque.,"Medical screening was performed prior to departure, and four South Africans who were showing signs of coronavirus were left behind to mitigate risk."
Wikipedia_handpicked_1:1465,Seuls les Sud-Africains dont le test était négatif ont été rapatriés.,Only South Africans who tested negative were repatriated.
Wikipedia_handpicked_1:1466,"Les résultats des tests ont exempté tous les Sud-Africains, y compris les membres de l’équipage, les pilotes, le personnel de l’hôtel, les policiers et les soldats impliqués dans la mission humanitaire, qui, par mesure de précaution, sont tous restés en observation et en quarantaine pendant une période de 14 jours au Ranch Resort.","Test results cleared all the South Africans, including the flight crew, pilots, hotel staff, police and soldiers involved in the humanitarian mission who, as a precautionary measure, all remained under observation and in quarantine for a 14-day period at The Ranch Resort."
Wikipedia_handpicked_1:1467,"Le 20 mars, les États-Unis ont commencé à retirer partiellement leurs troupes d’Irak en raison de la pandémie.","On 20 March, the United States began to partially withdrawal its troops from Iraq due to the pandemic."
Wikipedia_handpicked_1:1468,"Le 5 février, le ministère des Affaires étrangères chinois a déclaré que 21 pays (notamment la Biélorussie, le Pakistan, Trinité-et-Tobago, l’Égypte et l’Iran) avaient envoyé de l’aide en Chine.","On 5 February, the Chinese foreign ministry stated that 21 countries (including Belarus, Pakistan, Trinidad and Tobago, Egypt, and Iran) had sent aid to China."
Wikipedia_handpicked_1:1469,"Quelques étudiants chinois inscrits dans des universités américaines se sont rassemblés pour contribuer à l’envoi d’aide dans les régions de Chine touchées par le virus, avec un groupe conjoint de la région du Grand Chicago qui aurait envoyé 50 000 masques N95 aux hôpitaux de la province du Hubei le 30 janvier. L’organisation d’aide humanitaire Direct Relief, en coordination avec FedEx, a envoyé 200 000 masques de protection ainsi que d’autres équipements de protection individuelle, y compris des gants et des blouses, par pont aérien d’urgence au Wuhan Union Hospital le 30 janvier.","Some Chinese students at American universities joined together to help send aid to virus-stricken parts of China, with a joint group in the greater Chicago area reportedly managing to send 50,000 N95 masks to hospitals in the Hubei province on 30 January.The humanitarian aid organization Direct Relief, in coordination with FedEx, sent 200,000 face masks along with other personal protective equipment, including gloves and gowns, by emergency airlift to the Wuhan Union Hospital by 30 January."
Wikipedia_handpicked_1:1470,"Le 5 février, Bill et Melinda Gates ont annoncé un don de 100 millions de dollars à l’OMS pour financer la recherche d’un vaccin ainsi que les efforts de traitement et protéger « les populations à risque en Afrique et en Asie du Sud ».","On 5 February, Bill and Melinda Gates announced a $100 million donation to the WHO to fund vaccine research and treatment efforts along with protecting ""at-risk populations in Africa and South Asia""."
Wikipedia_handpicked_1:1471,"Interaksyon a rapporté que le gouvernement chinois avait fait don de 200 000 masques aux Philippines le 6 février, après que le sénateur Richard Gordon eut expédié 3,16 millions de masques à Wuhan.","Interaksyon reported that the Chinese government donated 200,000 masks to the Philippines on 6 February, after Senator Richard Gordon shipped 3.16 million masks to Wuhan."
Wikipedia_handpicked_1:1472,"Le 19 février, la Croix-Rouge de Singapour a annoncé qu’elle enverrait la valeur de 2,26 millions de dollars d’aide à la Chine.","On 19 February, the Singapore Red Cross announced that it would send $2.26 million worth of aid to China."
Wikipedia_handpicked_1:1473,"Le Japon a fait don d’un million de masques de protection à Wuhan, la Turquie a expédié de l’équipement médical, la Russie a envoyé plus de 13 tonnes de matériel médical à Wuhan, la Malaisie a annoncé un don de 18 millions de gants médicaux à la Chine, l’Allemagne a fourni divers équipements médicaux, notamment 10 000 combinaisons Hazmat, et les États-Unis ont fait don de 17,8 tonnes de matériel médical à la Chine et a promis 100 millions de dollars supplémentaires de soutien financier aux pays touchés. Dès que les cas en Chine ont semblé se stabiliser, le pays a envoyé de l’aide à plusieurs nations touchées par la pandémie.","Japan donated one million face masks to Wuhan, Turkey dispatched medical equipment, Russia sent more than 13 tonnes of medical supplies to Wuhan, Malaysia announced a donation of 18 million medical gloves to China, Germany delivered various medical supplies including 10,000 Hazmat suits, and the United States donated 17.8 tons of medical supplies to China and promised an additional $100 million in financial support to affected countries.After cases in China seemed to stabilize, the country has been sending aid to various nations hit by the pandemic."
Wikipedia_handpicked_1:1474,"En mars, la Chine, Cuba et la Russie ont envoyé du matériel médical et des experts pour aider l’Italie à faire face à l’épidémie de coronavirus.","In March, China, Cuba and Russia sent medical supplies and experts to help Italy deal with its coronavirus outbreak."
Wikipedia_handpicked_1:1475,"L’homme d’affaires Jack Ma a envoyé 1,1 million de kits de dépistage, 6 millions de masques de protection et 60 000 combinaisons de protection à Addis-Abeba, en Éthiopie, pour une distribution par l’Union africaine.","Businessman Jack Ma sent 1.1 million testing kits, 6 million face masks, and 60,000 protective suits to Addis Ababa, Ethiopia for distribution by the African Union."
Wikipedia_handpicked_1:1476,"Il a par la suite envoyé 5 000 kits de dépistage, 100 000 masques de protection et 5 respirateurs au Panama.","He later sent 5,000 testing kits, 100,000 face masks and 5 ventilators to Panama."
Wikipedia_handpicked_1:1477,"Ma a également fait don de matériel médical au Canada. Les Pays-Bas, l’Espagne, la Turquie, la Géorgie et la République tchèque ont exprimé leurs préoccupations concernant les masques et les kits de dépistage fabriqués en Chine.","Ma also donated medical supplies to Canada.The Netherlands, Spain, Turkey, Georgia, and the Czech Republic expressed their concerns over Chinese-made masks and test kits."
Wikipedia_handpicked_1:1478,"Par exemple, l’Espagne a retiré 58 000 kits de dépistage du coronavirus fabriqués en Chine avec un taux d’exactitude de seulement 30 %, tandis que les Pays-Bas ont rappelé 600 000 masques de protection chinois défectueux.","For instance, Spain withdrew 58,000 Chinese-made coronavirus testing kits with an accuracy rate of just 30%, meanwhile, the Netherlands recalled 600,000 Chinese face masks which were defective."
Wikipedia_handpicked_1:1479,"La Belgique a rappelé 100 000 masques inutilisables ; on pensait qu’ils provenaient de Chine, mais ils venaient en fait de Colombie.","Belgium recalled 100,000 unusable masks, thought to be from China, but were in fact from Colombia."
Wikipedia_handpicked_1:1480,"Par contre, l’aide chinoise a été bien accueillie dans les régions d’Amérique latine et d’Afrique. Le 2 avril, la Banque mondiale a lancé des opérations de soutien d’urgence pour les pays en développement.","On the other hand, Chinese aid has been well-received in parts of Latin America and Africa.On 2 April, the World Bank launched emergency support operations for developing countries."
Wikipedia_handpicked_1:1481,L’OMS a loué les efforts des autorités chinoises dans la gestion et l’endiguement de l’épidémie.,The WHO has commended the efforts of Chinese authorities in managing and containing the epidemic.
Wikipedia_handpicked_1:1482,"L’OMS a noté le contraste entre l’épidémie de SRAS de 2002-2004, où les autorités chinoises avaient été accusées de dissimulation ayant entravé les efforts de prévention et d’endiguement, et la crise actuelle où le gouvernement central « a fourni des rapports réguliers pour éviter la panique à la veille du Nouvel An lunaire ».","The WHO noted the contrast between the 2002–2004 SARS outbreak, where Chinese authorities were accused of secrecy that impeded prevention and containment efforts, and the current crisis where the central government ""has provided regular updates to avoid panic ahead of Lunar New Year holidays""."
Wikipedia_handpicked_1:1483,"Le 23 janvier, en réaction à la décision des autorités centrales d’appliquer une interdiction de déplacement à Wuhan, le représentant de l’OMS Gauden Galea a fait remarquer que même s’il ne s’agissait « certainement pas d’une recommandation de l’OMS », il s’agissait toutefois d’une « indication très importante de l’engagement à contenir l’épidémie là où elle est le plus concentrée » et il a parlé d’un fait « sans précédent dans l’histoire de la santé publique ». Le 30 janvier, suite à la confirmation d’une transmission interhumaine en dehors de la Chine et de l’augmentation du nombre de cas dans d’autres pays, l’OMS a déclaré que l’épidémie constituait une urgence de santé publique de portée internationale (USPPI), la sixième USPPI depuis que la mesure a été invoquée lors de la pandémie de grippe A de 2009.","On 23 January, in reaction to the central authorities' decision to implement a transportation ban in Wuhan, WHO representative Gauden Galea remarked that while it was ""certainly not a recommendation the WHO has made"", it was also ""a very important indication of the commitment to contain the epidemic in the place where it is most concentrated"" and called it ""unprecedented in public health history"".On 30 January, following confirmation of human-to-human transmission outside China and the increase in the number of cases in other countries, the WHO declared the outbreak a Public Health Emergency of International Concern (PHEIC), the sixth PHEIC since the measure was first invoked during the 2009 swine flu pandemic."
Wikipedia_handpicked_1:1484,"Le directeur général de l’OMS Tedros Adhanom a déclaré que l’USPPI était due au « risque de propagation mondiale, en particulier pour les pays à faible revenu et à revenu intermédiaire sans systèmes de santé robustes.","WHO Director-General Tedros Adhanom said that the PHEIC was due to ""the risk of global spread, especially to low- and middle-income countries without robust health systems."
Wikipedia_handpicked_1:1485,"En réponse à l’application de restrictions de déplacement, Tedros a déclaré : « il n’y a aucune raison pour que des mesures interfèrent inutilement avec les voyages et les échanges commerciaux internationaux » et « l’OMS ne recommande pas de restreindre les échanges commerciaux et les déplacements ».","In response to the implementations of travel restrictions, Tedros stated that ""there is no reason for measures that unnecessarily interfere with international travel and trade"" and that the ""WHO doesn't recommend limiting trade and movement."""
